KE_TITLE,KE_CHUNK,MESH_TITLE,SCORE
"Increased, Thyroid-stimulating hormone (TSH)",TSH,"RNA, Transfer, Trp",0.6031497716903687
"Activation, Glutamate-gated chloride channels",Activation,Activation Analysis,0.7367744445800781
"Activation, Glutamate-gated chloride channels",Activation,"Activation, Metabolic",0.7045129537582397
"Activation, Glutamate-gated chloride channels",Activation,Enzyme Activation,0.6919927597045898
"Activation of specific nuclear receptors, PPAR-gamma activation",specific nuclear,Nuclear Proteins,0.6879863142967224
"Activation of specific nuclear receptors, PPAR-gamma activation",specific nuclear,Nuclear Localization Signals,0.6816393733024597
"Activation of specific nuclear receptors, PPAR-gamma activation",specific nuclear,Nuclear Envelope,0.6533263325691223
"Activation of specific nuclear receptors, PPAR-gamma activation",PPAR-gamma activation,PPAR-gamma Agonists,0.8516862392425537
"Activation of specific nuclear receptors, PPAR-gamma activation",PPAR-gamma activation,PPAR gamma,0.7996830940246582
"Activation of specific nuclear receptors, PPAR-gamma activation",PPAR-gamma activation,PPAR alpha,0.6414308547973633
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, adipogenesis",adipogenesis,Adipogenesis,1.0
"Increased, adipogenesis",adipogenesis,Adipocytes,0.8576481342315674
"Increased, adipogenesis",adipogenesis,Adipose Tissue,0.8385754823684692
"Increase, Ecdysone receptor hyperactivation",Increase,Up-Regulation,0.6163897514343262
"Increase, Ecdysone receptor hyperactivation",Increase,Cell Enlargement,0.5922842621803284
"Increase, Ecdysone receptor hyperactivation",Increase,Acceleration,0.5545346736907959
"Increase, Ecdysone receptor hyperactivation",Ecdysone receptor hyperactivation,Ecdysone,0.7809169292449951
"Increase, Ecdysone receptor hyperactivation",Ecdysone receptor hyperactivation,Ecdysterone,0.7681450247764587
"Increase, Ecdysone receptor hyperactivation",Ecdysone receptor hyperactivation,Ecdysteroids,0.734265923500061
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, secretion of local growth factors",secretion,Secretory Rate,0.8066329956054688
"Increased, secretion of local growth factors",secretion,Secretagogues,0.7709883451461792
"Increased, secretion of local growth factors",secretion,Secretin,0.7534168362617493
"Increased, secretion of local growth factors",local growth,Growth,0.656740128993988
"Increased, secretion of local growth factors",local growth,Growth Substances,0.592300534248352
"Increased, secretion of local growth factors",local growth,Sustainable Growth,0.5899121165275574
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, proliferation of mesenchymal cells",proliferation,Cell Proliferation,0.8384174108505249
"Increased, proliferation of mesenchymal cells",proliferation,Growth,0.678737223148346
"Increased, proliferation of mesenchymal cells",proliferation,Hyperplasia,0.6419572830200195
"Increased, proliferation of mesenchymal cells",mesenchymal,Mesenchymoma,0.8740308284759521
"Increased, proliferation of mesenchymal cells",mesenchymal,Mesenchymal Stem Cells,0.8388484716415405
"Increased, proliferation of mesenchymal cells",mesenchymal,Mesoderm,0.7975508570671082
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, IGF-1 (mouse)",IGF-1,"Receptor, IGF Type 1",0.8140158653259277
"Increased, IGF-1 (mouse)",IGF-1,Interferon Regulatory Factor-1,0.6367238759994507
"Increased, IGF-1 (mouse)",IGF-1,Insulin-Like Growth Factor I,0.6207025051116943
"Increased, IGF-1 (mouse)",mouse,Mice,0.8767542839050293
"Increased, IGF-1 (mouse)",mouse,"Mice, Inbred MRL lpr",0.6629524230957031
"Increased, IGF-1 (mouse)",mouse,"Mice, 129 Strain",0.6564167141914368
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, Firbrosarcoma",Firbrosarcoma,Fibrosarcoma,0.8114240169525146
"Increased, Firbrosarcoma",Firbrosarcoma,Dermatofibrosarcoma,0.745813250541687
"Increased, Firbrosarcoma",Firbrosarcoma,Fibroma,0.6939293146133423
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, liposarcoma",liposarcoma,Liposarcoma,1.0
"Increased, liposarcoma",liposarcoma,Lipoma,0.808999240398407
"Increased, liposarcoma",liposarcoma,"Liposarcoma, Myxoid",0.807710587978363
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, hemagiosarcoma",hemagiosarcoma,Hemangiosarcoma,0.7335823178291321
"Increased, hemagiosarcoma",hemagiosarcoma,Histiocytic Sarcoma,0.6999961137771606
"Increased, hemagiosarcoma",hemagiosarcoma,Hemangioblastoma,0.683005154132843
"Activation, Glutamate-gated chloride channels",Activation,Activation Analysis,0.7367744445800781
"Activation, Glutamate-gated chloride channels",Activation,"Activation, Metabolic",0.7045129537582397
"Activation, Glutamate-gated chloride channels",Activation,Enzyme Activation,0.6919926404953003
"Activation, beta-2 adrenergic receptor",beta-2 adrenergic receptor,Adrenergic beta-2 Receptor Agonists,0.9135607481002808
"Activation, beta-2 adrenergic receptor",beta-2 adrenergic receptor,Adrenergic beta-2 Receptor Antagonists,0.8977147936820984
"Activation, beta-2 adrenergic receptor",beta-2 adrenergic receptor,"Receptors, Adrenergic, beta-2",0.8870647549629211
"Increased activity, beta-2 adrenergic receptor",Increased activity,Activity Cycles,0.61217200756073
"Increased activity, beta-2 adrenergic receptor",Increased activity,Higher Nervous Activity,0.6042187213897705
"Increased activity, beta-2 adrenergic receptor",Increased activity,Exercise,0.5840730667114258
"Activation, beta-2 adrenergic receptor",beta-2 adrenergic receptor,Adrenergic beta-2 Receptor Agonists,0.9135607481002808
"Activation, beta-2 adrenergic receptor",beta-2 adrenergic receptor,Adrenergic beta-2 Receptor Antagonists,0.8977147936820984
"Activation, beta-2 adrenergic receptor",beta-2 adrenergic receptor,"Receptors, Adrenergic, beta-2",0.8870647549629211
"relaxation, smooth muscle",relaxation,Relaxation,0.9999998807907104
"relaxation, smooth muscle",relaxation,Muscle Relaxation,0.6827118396759033
"relaxation, smooth muscle",relaxation,Relaxin,0.6126741170883179
"relaxation, smooth muscle",smooth muscle,"Muscle, Smooth",0.8816158771514893
"relaxation, smooth muscle",smooth muscle,Smooth Muscle Tumor,0.7943621873855591
"relaxation, smooth muscle",smooth muscle,"Myocytes, Smooth Muscle",0.7817822694778442
"Proliferation/Clonal Expansion, smooth muscle",Proliferation/Clonal Expansion,Clonal Evolution,0.7556717395782471
"Proliferation/Clonal Expansion, smooth muscle",Proliferation/Clonal Expansion,Cell Proliferation,0.6237654685974121
"Proliferation/Clonal Expansion, smooth muscle",Proliferation/Clonal Expansion,Clonal Hematopoiesis,0.6184999942779541
"relaxation, smooth muscle",smooth muscle,"Muscle, Smooth",0.8816158771514893
"relaxation, smooth muscle",smooth muscle,Smooth Muscle Tumor,0.7943621873855591
"relaxation, smooth muscle",smooth muscle,"Myocytes, Smooth Muscle",0.7817822694778442
"Hypertrophy/hyperplasia, smooth muscle",Hypertrophy/hyperplasia,Hypertrophy,0.9047845005989075
"Hypertrophy/hyperplasia, smooth muscle",Hypertrophy/hyperplasia,Hyperplasia,0.8673787713050842
"Hypertrophy/hyperplasia, smooth muscle",Hypertrophy/hyperplasia,"Cardiomyopathy, Hypertrophic",0.696709156036377
"relaxation, smooth muscle",smooth muscle,"Muscle, Smooth",0.8816158771514893
"relaxation, smooth muscle",smooth muscle,Smooth Muscle Tumor,0.7943621873855591
"relaxation, smooth muscle",smooth muscle,"Myocytes, Smooth Muscle",0.7817822694778442
"Promotion, mesovarian leiomyomas",Promotion,Health Promotion,0.7352569103240967
"Promotion, mesovarian leiomyomas",Promotion,Motivation,0.5634594559669495
"Promotion, mesovarian leiomyomas",Promotion,Health,0.5396741628646851
"Promotion, mesovarian leiomyomas",mesovarian leiomyomas,Leiomyomatosis,0.7579176425933838
"Promotion, mesovarian leiomyomas",mesovarian leiomyomas,Leiomyoma,0.7557663321495056
"Promotion, mesovarian leiomyomas",mesovarian leiomyomas,"Leiomyoma, Epithelioid",0.7073322534561157
"Decreased, Ovarian E2",Decreased,Down-Regulation,0.5955098867416382
"Decreased, Ovarian E2",Decreased,Deceleration,0.49383389949798584
"Decreased, Ovarian E2",Decreased,Down Syndrome,0.46946007013320923
"Decreased, Ovarian E2",Ovarian E2,Ovary,0.6797997355461121
"Decreased, Ovarian E2",Ovarian E2,"Receptors, Estradiol",0.6601789593696594
"Decreased, Ovarian E2",Ovarian E2,Oogenesis,0.6598743200302124
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, secrection of FSH from anterior pituitary",secrection,Sequoia,0.6568451523780823
"Increased, secrection of FSH from anterior pituitary",secrection,Sepia,0.6560741662979126
"Increased, secrection of FSH from anterior pituitary",secrection,Securinega,0.6494464874267578
"Increased, secrection of FSH from anterior pituitary",FSH,"Receptors, FSH",0.7054116725921631
"Increased, secrection of FSH from anterior pituitary",FSH,F Factor,0.6645839810371399
"Increased, secrection of FSH from anterior pituitary",FSH,FMRFamide,0.6166463494300842
"Increased, secrection of FSH from anterior pituitary",anterior pituitary,"Pituitary Gland, Anterior",0.9251742362976074
"Increased, secrection of FSH from anterior pituitary",anterior pituitary,"Pituitary Hormones, Anterior",0.9052402377128601
"Increased, secrection of FSH from anterior pituitary",anterior pituitary,Pituitary Gland,0.7576001882553101
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, secretion of local growth factors",secretion,Secretory Rate,0.8066329956054688
"Increased, secretion of local growth factors",secretion,Secretagogues,0.7709883451461792
"Increased, secretion of local growth factors",secretion,Secretin,0.7534168362617493
"Increased, secretion of LH from anterior pituitary",LH,Luffa,0.7004517316818237
"Increased, secretion of LH from anterior pituitary",LH,L Forms,0.6726376414299011
"Increased, secretion of LH from anterior pituitary",LH,L Cells,0.6683432459831238
"Increased, secrection of FSH from anterior pituitary",anterior pituitary,"Pituitary Gland, Anterior",0.9251742362976074
"Increased, secrection of FSH from anterior pituitary",anterior pituitary,"Pituitary Hormones, Anterior",0.9052402377128601
"Increased, secrection of FSH from anterior pituitary",anterior pituitary,Pituitary Gland,0.7576001882553101
"Hyperplasia, ovarian stromal cells",Hyperplasia,Hyperplasia,1.0
"Hyperplasia, ovarian stromal cells",Hyperplasia,Hypertrophy,0.7974356412887573
"Hyperplasia, ovarian stromal cells",Hyperplasia,Focal Epithelial Hyperplasia,0.7216061353683472
"Hyperplasia, ovarian stromal cells",ovarian stromal,Ovarian Neoplasms,0.6969003081321716
"Hyperplasia, ovarian stromal cells",ovarian stromal,Ovarian Cysts,0.6937744617462158
"Hyperplasia, ovarian stromal cells",ovarian stromal,Ovarian Follicle,0.690956711769104
"Hyperplasia, ovarian stromal cells",Hyperplasia,Hyperplasia,1.0
"Hyperplasia, ovarian stromal cells",Hyperplasia,Hypertrophy,0.7974355816841125
"Hyperplasia, ovarian stromal cells",Hyperplasia,Focal Epithelial Hyperplasia,0.7216060161590576
"Hyperplasia, ovarian epithelium",ovarian epithelium,"Carcinoma, Ovarian Epithelial",0.8159662485122681
"Hyperplasia, ovarian epithelium",ovarian epithelium,Ovary,0.7231489419937134
"Hyperplasia, ovarian epithelium",ovarian epithelium,Ovarian Follicle,0.6960247755050659
"Promotion, mesovarian leiomyomas",Promotion,Health Promotion,0.7352569103240967
"Promotion, mesovarian leiomyomas",Promotion,Motivation,0.5634594559669495
"Promotion, mesovarian leiomyomas",Promotion,Health,0.5396741628646851
"Promotion, ovarian adenomas",ovarian adenomas,Ovarian Neoplasms,0.8207101225852966
"Promotion, ovarian adenomas",ovarian adenomas,Ovarian Diseases,0.7779223322868347
"Promotion, ovarian adenomas",ovarian adenomas,Ovarian Cysts,0.7602035999298096
"Promotion, mesovarian leiomyomas",Promotion,Health Promotion,0.7352569103240967
"Promotion, mesovarian leiomyomas",Promotion,Motivation,0.5634594559669495
"Promotion, mesovarian leiomyomas",Promotion,Health,0.5396741628646851
"Promotion, ovarian granular cell tumors",ovarian granular cell,Granulosa Cells,0.7371025085449219
"Promotion, ovarian granular cell tumors",ovarian granular cell,Granulosa Cell Tumor,0.7239398956298828
"Promotion, ovarian granular cell tumors",ovarian granular cell,Ovarian Follicle,0.69249427318573
"Decrease, E2 blood concentrations at hypothalamus",Decrease,Down-Regulation,0.6212114095687866
"Decrease, E2 blood concentrations at hypothalamus",Decrease,Deceleration,0.5292280316352844
"Decrease, E2 blood concentrations at hypothalamus",Decrease,Desegregation,0.4799889326095581
"Decrease, E2 blood concentrations at hypothalamus",E2 blood,Hemoglobin E,0.6871285438537598
"Decrease, E2 blood concentrations at hypothalamus",E2 blood,Serpin E2,0.5768582820892334
"Decrease, E2 blood concentrations at hypothalamus",E2 blood,Blood,0.5676662921905518
"Decrease, E2 blood concentrations at hypothalamus",hypothalamus,Hypothalamus,0.9999999403953552
"Decrease, E2 blood concentrations at hypothalamus",hypothalamus,Hypothalamic Hormones,0.8778789043426514
"Decrease, E2 blood concentrations at hypothalamus",hypothalamus,Hypothalamo-Hypophyseal System,0.8657402992248535
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, PPAR-alpha activation",PPAR-alpha activation,PPAR alpha,0.7765296697616577
"Increased, PPAR-alpha activation",PPAR-alpha activation,PPAR-gamma Agonists,0.7455810308456421
"Increased, PPAR-alpha activation",PPAR-alpha activation,AMP-Activated Protein Kinases,0.6039842963218689
"Decreased, Ovarian E2",Decreased,Down-Regulation,0.5955098867416382
"Decreased, Ovarian E2",Decreased,Deceleration,0.49383389949798584
"Decreased, Ovarian E2",Decreased,Down Syndrome,0.46946007013320923
"Decreased, bile flow",flow,Pulsatile Flow,0.6743166446685791
"Decreased, bile flow",flow,Flow Injection Analysis,0.6213115453720093
"Decreased, bile flow",flow,Optic Flow,0.6116033792495728
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, cholestasis",cholestasis,Cholestasis,0.9999998807907104
"Increased, cholestasis",cholestasis,Cholelithiasis,0.8253006935119629
"Increased, cholestasis",cholestasis,Cholangitis,0.8222002387046814
"Reduction, Eggshell thickness",Reduction,Reducing Agents,0.7390654683113098
"Reduction, Eggshell thickness",Reduction,"Diet, Reducing",0.5959726572036743
"Reduction, Eggshell thickness",Reduction,Harm Reduction,0.5456464290618896
"Reduction, Eggshell thickness",Eggshell thickness,Egg Shell,0.7534962892532349
"Reduction, Eggshell thickness",Eggshell thickness,Eggs,0.7200197577476501
"Reduction, Eggshell thickness",Eggshell thickness,Egg Proteins,0.7096766233444214
"prolonged, elevation of serun CCK",prolonged,"Pregnancy, Prolonged",0.5486466288566589
"prolonged, elevation of serun CCK",prolonged,Acceleration,0.49925696849823
"prolonged, elevation of serun CCK",prolonged,Physical Endurance,0.4850733280181885
"prolonged, elevation of serun CCK",elevation,Altitude,0.7008110284805298
"prolonged, elevation of serun CCK",elevation,Acceleration,0.6183929443359375
"prolonged, elevation of serun CCK",elevation,Altitude Sickness,0.537085771560669
"prolonged, elevation of serun CCK",serun CCK,SecA Proteins,0.5570716857910156
"prolonged, elevation of serun CCK",serun CCK,Sedum,0.5423436164855957
"prolonged, elevation of serun CCK",serun CCK,Sepia,0.5035454034805298
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, Cellular proliferation / hyperplasia of acinar cells",Cellular proliferation / hyperplasia,Hyperplasia,0.8261660933494568
"Increased, Cellular proliferation / hyperplasia of acinar cells",Cellular proliferation / hyperplasia,Cell Proliferation,0.7543153166770935
"Increased, Cellular proliferation / hyperplasia of acinar cells",Cellular proliferation / hyperplasia,Hypertrophy,0.7169398665428162
"Increased, Cellular proliferation / hyperplasia of acinar cells",acinar,Acinar Cells,0.9007741212844849
"Increased, Cellular proliferation / hyperplasia of acinar cells",acinar,"Carcinoma, Acinar Cell",0.724524974822998
"Increased, Cellular proliferation / hyperplasia of acinar cells",acinar,Acinonyx,0.5942649841308594
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, Pancreatic acinar tumors",Pancreatic acinar,Pancreas,0.8532136678695679
"Increased, Pancreatic acinar tumors",Pancreatic acinar,Pancreatic Ducts,0.8253271579742432
"Increased, Pancreatic acinar tumors",Pancreatic acinar,Pancreatic Pseudocyst,0.7838106155395508
"Decreased, Ovarian E2",Decreased,Down-Regulation,0.5955098867416382
"Decreased, Ovarian E2",Decreased,Deceleration,0.49383389949798584
"Decreased, Ovarian E2",Decreased,Down Syndrome,0.46946007013320923
"Decreased, GnRH pulsatility/release in hypothalamus",GnRH pulsatility/release,Gestrinone,0.5200774669647217
"Decreased, GnRH pulsatility/release in hypothalamus",GnRH pulsatility/release,Gonadotropin-Releasing Hormone,0.5107307434082031
"Decreased, GnRH pulsatility/release in hypothalamus",GnRH pulsatility/release,GMP Reductase,0.5074103474617004
"Decrease, E2 blood concentrations at hypothalamus",hypothalamus,Hypothalamus,1.0
"Decrease, E2 blood concentrations at hypothalamus",hypothalamus,Hypothalamic Hormones,0.8778789639472961
"Decrease, E2 blood concentrations at hypothalamus",hypothalamus,Hypothalamo-Hypophyseal System,0.8657404184341431
"Decreased, Ovarian E2",Decreased,Down-Regulation,0.5955098867416382
"Decreased, Ovarian E2",Decreased,Deceleration,0.49383389949798584
"Decreased, Ovarian E2",Decreased,Down Syndrome,0.46946007013320923
"Decreased, LH Surge from anterior pituitary",LH Surge,Luffa,0.6100541353225708
"Decreased, LH Surge from anterior pituitary",LH Surge,L Cells,0.5849626660346985
"Decreased, LH Surge from anterior pituitary",LH Surge,Luteoma,0.5800070762634277
"Increased, secrection of FSH from anterior pituitary",anterior pituitary,"Pituitary Gland, Anterior",0.9251742362976074
"Increased, secrection of FSH from anterior pituitary",anterior pituitary,"Pituitary Hormones, Anterior",0.9052402377128601
"Increased, secrection of FSH from anterior pituitary",anterior pituitary,Pituitary Gland,0.7576001882553101
"interruption, Ovulation",interruption,Treatment Interruption,0.748553454875946
"interruption, Ovulation",interruption,Interrupted Time Series Analysis,0.4808632731437683
"interruption, Ovulation",interruption,Coitus Interruptus,0.44181281328201294
"interruption, Ovulation",Ovulation,Ovulation,1.000000238418579
"interruption, Ovulation",Ovulation,Ovulation Detection,0.8960698843002319
"interruption, Ovulation",Ovulation,Ovulation Induction,0.8652560114860535
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, circulating estrogen levels",estrogen,Estrogens,0.9387047290802002
"Increased, circulating estrogen levels",estrogen,Estradiol,0.9137536883354187
"Increased, circulating estrogen levels",estrogen,Estrone,0.9095768928527832
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, prolactin exposure",prolactin exposure,Prolactin,0.9029144644737244
"Increased, prolactin exposure",prolactin exposure,"Receptors, Prolactin",0.8372657299041748
"Increased, prolactin exposure",prolactin exposure,Prolactin-Releasing Hormone,0.8300155401229858
"Hyperplasia, ovarian stromal cells",Hyperplasia,Hyperplasia,1.0
"Hyperplasia, ovarian stromal cells",Hyperplasia,Hypertrophy,0.7974355816841125
"Hyperplasia, ovarian stromal cells",Hyperplasia,Focal Epithelial Hyperplasia,0.7216060161590576
"Hyperplasia, Mammary gland",Mammary gland,"Mammary Glands, Human",0.8669012188911438
"Hyperplasia, Mammary gland",Mammary gland,"Mammary Glands, Animal",0.8658913373947144
"Hyperplasia, Mammary gland",Mammary gland,"Mammary Neoplasms, Animal",0.7296627759933472
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, Adenomas/carcinomas (mammary)",Adenomas/carcinomas,Adenoma,0.7813922166824341
"Increased, Adenomas/carcinomas (mammary)",Adenomas/carcinomas,Adenocarcinoma,0.7807696461677551
"Increased, Adenomas/carcinomas (mammary)",Adenomas/carcinomas,"Carcinoma, Adenosquamous",0.7681571245193481
"Increased, Adenomas/carcinomas (mammary)",mammary,"Mammary Glands, Animal",0.8218685984611511
"Increased, Adenomas/carcinomas (mammary)",mammary,"Mammary Glands, Human",0.8152669668197632
"Increased, Adenomas/carcinomas (mammary)",mammary,Mammary Arteries,0.7996640801429749
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, latency period",latency period,"Latency Period, Psychological",0.7627614736557007
"Increased, latency period",latency period,Latent Infection,0.6976959705352783
"Increased, latency period",latency period,Virus Latency,0.6923748254776001
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, lactotroph hyperplasia and hypertrophy",lactotroph hyperplasia and hypertrophy,Lactotrophs,0.7315975427627563
"Increased, lactotroph hyperplasia and hypertrophy",lactotroph hyperplasia and hypertrophy,Hyperplasia,0.6471396684646606
"Increased, lactotroph hyperplasia and hypertrophy",lactotroph hyperplasia and hypertrophy,Hypertrophy,0.5990532636642456
"Increased, Inhibitory postsynaptic potential",Increased,Up-Regulation,0.6044554114341736
"Increased, Inhibitory postsynaptic potential",Increased,Cell Enlargement,0.5663297176361084
"Increased, Inhibitory postsynaptic potential",Increased,Acceleration,0.5250891447067261
"Increased, adenomas (pituitary)",adenomas,Adenoma,0.91905677318573
"Increased, adenomas (pituitary)",adenomas,Adenomatous Polyps,0.7938547134399414
